"week","franchise_id","franchise_name","franchise_score","lineup_slot","player_score","projected_score","player_id","player_name","pos","team"
1,1,"White Stoners ",146.56000000000003,"QB",4.460000000000001,18.6,2577417,"Dak Prescott","QB","DAL"
1,1,"White Stoners ",146.56000000000003,"RB",21.5,17.3,3116385,"Joe Mixon","RB","CIN"
1,1,"White Stoners ",146.56000000000003,"RB",19.8,15.3,4361579,"Javonte Williams","RB","DEN"
1,1,"White Stoners ",146.56000000000003,"WR",39.400000000000006,17.9,4262921,"Justin Jefferson","WR","MIN"
1,1,"White Stoners ",146.56000000000003,"WR",11.2,12.8,3128429,"Courtland Sutton","WR","DEN"
1,1,"White Stoners ",146.56000000000003,"TE",7.800000000000001,7.8,4036133,"T.J. Hockenson","TE","MIN"
1,1,"White Stoners ",146.56000000000003,"DST",8,7.3,-16005,"Browns D/ST","DST","CLE"
1,1,"White Stoners ",146.56000000000003,"K",1,8.3,10621,"Nick Folk","K","NEP"
1,1,"White Stoners ",146.56000000000003,"BE",12.5,14.7,3932905,"Diontae Johnson","WR","PIT"
1,1,"White Stoners ",146.56000000000003,"BE",20.4,20.4,4374302,"Amon-Ra St. Brown","WR","DET"
1,1,"White Stoners ",146.56000000000003,"BE",6.5,10.4,3116165,"Chris Godwin","WR","TBB"
1,1,"White Stoners ",146.56000000000003,"BE",11.9,12.4,3120348,"JuJu Smith-Schuster","WR","KCC"
1,1,"White Stoners ",146.56000000000003,"BE",10.5,10.6,3119195,"Chase Edmonds","RB","DEN"
1,1,"White Stoners ",146.56000000000003,"BE",20.1,10.6,4239934,"AJ Dillon","RB","GBP"
1,1,"White Stoners ",146.56000000000003,"BE",-1.8,6.3,4379399,"James Cook","RB","BUF"
1,1,"White Stoners ",146.56000000000003,"RB/WR/TE",33.400000000000006,15.9,3929630,"Saquon Barkley","RB","NYG"
1,2,"Remember The Titans",118.30000000000001,"QB",17.8,19.1,14881,"Russell Wilson","QB","DEN"
1,2,"Remember The Titans",118.30000000000001,"RB",8.200000000000001,18,3043078,"Derrick Henry","RB","TEN"
1,2,"Remember The Titans",118.30000000000001,"RB",7.6000000000000005,18.7,3054850,"Alvin Kamara","RB","NOS"
1,2,"Remember The Titans",118.30000000000001,"WR",10.600000000000001,14,15818,"Keenan Allen","WR","LAC"
1,2,"Remember The Titans",118.30000000000001,"WR",17.700000000000003,13.5,4372016,"Jaylen Waddle","WR","MIA"
1,2,"Remember The Titans",118.30000000000001,"TE",26.1,14.3,15847,"Travis Kelce","TE","KCC"
1,2,"Remember The Titans",118.30000000000001,"DST",7,7,-16011,"Colts D/ST","DST","IND"
1,2,"Remember The Titans",118.30000000000001,"K",9,7.9,3051909,"Daniel Carlson","K","OAK"
1,2,"Remember The Titans",118.30000000000001,"BE",8.5,13.6,4239996,"Travis Etienne Jr.","RB","JAC"
1,2,"Remember The Titans",118.30000000000001,"BE",8.3,12.9,4047365,"Josh Jacobs","RB","OAK"
1,2,"Remember The Titans",118.30000000000001,"BE",2.2,12.9,16799,"Allen Robinson II","WR","LAR"
1,2,"Remember The Titans",118.30000000000001,"BE",9,9,3121023,"Dallas Goedert","TE","PHI"
