"season","week","gsis_id","sportradar_id","espn_id","player_name","pos","team","points","interceptions","passing_2pt_conversions","passing_tds","passing_yards","receiving_2pt_conversions","receiving_fumbles_lost","receiving_tds","receiving_yards","receptions","rushing_2pt_conversions","rushing_fumbles_lost","rushing_tds","rushing_yards","sack_fumbles_lost","special_teams_tds"
2022,10,"00-0027688","3699dfd9-d437-43f7-b674-adbb31e7e64b","13199","Colt McCoy","QB","ARI",13.92,0,0,1,238,0,0,0,0,0,0,0,0,4,0,0
2022,11,"00-0027688","3699dfd9-d437-43f7-b674-adbb31e7e64b","13199","Colt McCoy","QB","ARI",7.32,1,0,0,218,0,0,0,0,0,0,0,0,6,0,0
2022,14,"00-0027688","3699dfd9-d437-43f7-b674-adbb31e7e64b","13199","Colt McCoy","QB","ARI",10.24,1,0,0,246,0,0,0,0,0,0,0,0,24,0,0
2022,15,"00-0027688","3699dfd9-d437-43f7-b674-adbb31e7e64b","13199","Colt McCoy","QB","ARI",1.32,1,0,0,78,0,0,0,0,0,0,0,0,2,0,0
2022,1,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",20.62,0,1,2,193,0,0,0,0,0,0,0,0,29,0,0
2022,2,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",25.88,1,1,1,277,0,0,0,0,0,1,0,1,28,0,0
2022,3,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",13.36,0,0,0,314,0,0,0,0,0,0,0,0,8,0,0
2022,4,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",22.88,1,0,2,207,0,0,0,0,0,0,0,1,26,0,0
2022,5,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",16.2,1,0,1,250,0,0,0,0,0,0,0,0,42,0,0
2022,6,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",14.88,1,0,0,222,0,0,0,0,0,0,1,0,100,0,0
2022,7,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",17.16,0,1,1,204,0,0,0,0,0,0,0,0,30,0,0
2022,8,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",24.64,2,0,3,326,0,0,0,0,0,0,0,0,36,0,0
2022,9,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",19,0,0,2,175,0,0,0,0,0,0,1,0,60,0,0
2022,12,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",25.24,1,0,2,191,0,0,0,0,0,0,0,1,56,0,0
2022,14,"00-0035228","dd5a6b6e-ffae-45a5-b8e6-718a9251f374","3917315","Kyler Murray","QB","ARI",0.66,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0
2022,1,"00-0035146","d4d135fd-b710-4c12-9082-9d6e544b3f8d","3116172","Trace McSorley","QB","ARI",2.48,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0
2022,11,"00-0035146","d4d135fd-b710-4c12-9082-9d6e544b3f8d","3116172","Trace McSorley","QB","ARI",0.96,1,0,0,59,0,0,0,0,0,0,0,0,6,0,0
2022,15,"00-0035146","d4d135fd-b710-4c12-9082-9d6e544b3f8d","3116172","Trace McSorley","QB","ARI",0.6,2,0,0,95,0,0,0,0,0,0,0,0,8,0,0
2022,1,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",16.5,0,0,0,0,0,0,0,29,5,0,0,1,26,0,0
2022,2,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",7.1,0,0,0,0,0,0,0,26,2,0,0,0,25,0,0
2022,3,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",8.7,0,0,0,0,0,0,0,18,3,0,0,0,39,0,0
2022,4,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",10.7,0,0,0,0,0,0,0,22,3,0,0,0,55,0,0
2022,5,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",7.3,0,0,0,0,0,0,0,8,1,0,0,0,55,0,0
2022,9,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",11.4,0,0,0,0,0,0,0,19,5,0,0,0,45,0,0
2022,10,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",23.6,0,0,0,0,0,0,0,17,3,0,0,2,69,0,0
2022,11,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",13.4,0,0,0,0,0,0,0,12,2,0,0,1,42,0,0
2022,12,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",21,0,0,0,0,0,0,1,20,3,0,1,0,120,0,0
2022,14,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",23.4,0,0,0,0,0,0,0,29,6,0,0,1,85,0,0
2022,15,"00-0033553","28a084c0-14df-499f-bd1f-b975603626b7","3045147","James Conner","RB","ARI",18.1,0,0,0,0,0,0,0,28,3,0,0,1,63,0,0
2022,12,"00-0033725","69568326-f210-4b88-a5cb-10376c64893e","3045260","Corey Clement","RB","ARI",1.8,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
2022,14,"00-0033725","69568326-f210-4b88-a5cb-10376c64893e","3045260","Corey Clement","RB","ARI",3.1,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
2022,2,"00-0034301","c2a19a09-74a2-4ace-8cc3-6dfb65070a70","3115375","Darrel Williams","RB","ARI",14.2,0,0,0,0,0,0,0,3,2,0,0,1,59,0,0
